iter	Passed	Remaining
411	3719	5308
412	3729	5300
413	3738	5291
414	3748	5284
415	3757	5275
416	3767	5267
417	3775	5257
418	3784	5247
419	3792	5237
420	3801	5227
421	3810	5219
422	3819	5209
423	3827	5199
424	3835	5189
425	3844	5179
426	3852	5169
427	3860	5159
428	3868	5149
429	3878	5141
430	3886	5130
431	3894	5120
432	3904	5113
433	3913	5103
434	3921	5093
435	3929	5083
436	3939	5075
437	3947	5065
438	3955	5055
439	3964	5045
440	3972	5034
441	3980	5024
442	3988	5014
443	3996	5004
444	4005	4996
445	4014	4986
446	4022	4976
447	4031	4966
448	4039	4956
449	4047	4946
450	4055	4936
451	4065	4928
452	4073	4918
453	4081	4908
454	4090	4899
455	4098	4888
456	4106	4879
457	4114	4869
458	4123	4859
459	4132	4851
460	4140	4841
461	4149	4831
462	4157	4822
463	4166	4812
464	4174	4803
465	4182	4792
466	4192	4785
467	4200	4775
468	4209	4765
469	4217	4755
470	4224	4745
471	4233	4735
472	4241	4725
473	4249	4715
474	4258	4706
475	4267	4697
476	4276	4689
477	4286	4681
478	4296	4673
479	4305	4664
480	4315	4655
481	4324	4647
482	4333	4638
483	4342	4629
484	4351	4620
485	4360	4611
486	4368	4602
487	4378	4593
488	4387	4584
489	4396	4575
490	4405	4567
491	4414	4558
492	4423	4549
493	4432	4540
494	4446	4536
495	4456	4528
496	4466	4520
497	4478	4514
498	4489	4507
499	4501	4501
500	4513	4495
501	4523	4487
502	4534	4480
503	4544	4471
504	4553	4463
505	4562	4454
506	4573	4447
507	4585	4441
508	4596	4434
509	4606	4425
510	4617	4418
511	4627	4410
512	4638	4402
513	4648	4395
514	4657	4385
515	4666	4377
516	4676	4368
517	4686	4360
518	4695	4351
519	4705	4343
520	4714	4334
521	4723	4325
522	4732	4316
523	4741	4307
524	4750	4297
525	4759	4289
526	4768	4280
527	4777	4270
528	4785	4260
529	4794	4251
530	4802	4241
531	4811	4232
532	4819	4222
533	4829	4214
534	4837	4204
535	4845	4194
536	4853	4184
537	4862	4175
538	4870	4165
539	4877	4155
540	4887	4146
541	4895	4136
542	4903	4127
543	4911	4117
544	4920	4107
545	4928	4097
546	4936	4088
547	4944	4078
548	4955	4070
549	4963	4060
550	4971	4051
551	4979	4041
552	4987	4031
553	4995	4022
554	5004	4012
555	5012	4002
556	5020	3993
557	5029	3983
558	5037	3974
559	5046	3964
560	5054	3954
561	5062	3945
562	5070	3935
563	5079	3926
564	5087	3917
565	5096	3907
566	5104	3898
567	5113	3889
568	5123	3880
569	5132	3871
570	5141	3862
571	5149	3853
572	5158	3843
573	5166	3834
574	5174	3824
575	5182	3815
576	5190	3805
577	5198	3795
578	5208	3787
579	5216	3777
580	5225	3768
581	5233	3759
582	5242	3749
583	5251	3740
584	5259	3731
585	5271	3724
586	5280	3715
587	5289	3706
588	5298	3697
589	5307	3688
590	5316	3679
591	5325	3670
592	5336	3662
593	5346	3654
594	5355	3645
595	5364	3636
596	5373	3627
597	5381	3617
598	5390	3608
599	5401	3600
600	5410	3591
601	5418	3582
602	5427	3573
603	5438	3565
604	5446	3556
605	5456	3547
606	5467	3540
607	5478	3532
608	5490	3524
609	5502	3518
610	5513	3510
611	5525	3503
612	5534	3494
613	5544	3485
614	5553	3476
615	5563	3468
616	5572	3459
617	5580	3449
618	5591	3441
619	5600	3432
620	5611	3424
621	5621	3415
622	5632	3408
623	5641	3399
624	5651	3391
625	5660	3381
626	5669	3372
627	5677	3363
628	5687	3354
629	5696	3345
630	5704	3336
631	5715	3327
632	5724	3318
633	5733	3310
634	5743	3301
635	5752	3292
636	5760	3282
637	5768	3272
638	5778	3264
639	5786	3254
640	5794	3245
641	5802	3235
642	5811	3226
643	5819	3216
644	5827	3207
645	5836	3198
646	5845	3189
647	5853	3179
648	5862	3170
649	5871	3161
650	5879	3152
651	5888	3142
652	5896	3133
653	5906	3124
654	5914	3115
655	5922	3105
656	5930	3096
657	5938	3086
658	5947	3077
659	5955	3067
660	5963	3058
661	5973	3049
662	5981	3040
663	5989	3030
664	5997	3021
665	6005	3011
666	6014	3002
667	6022	2993
668	6032	2984
669	6040	2975
670	6049	2965
671	6057	2956
672	6065	2947
673	6073	2937
674	6082	2928
675	6090	2919
676	6099	2910
677	6107	2900
678	6115	2891
679	6123	2881
680	6132	2872
681	6140	2863
682	6148	2853
683	6158	2845
684	6166	2835
685	6174	2826
686	6182	2816
687	6191	2807
688	6199	2798
689	6208	2789
690	6217	2780
691	6226	2771
692	6234	2761
693	6242	2752
694	6252	2743
695	6262	2735
696	6272	2726
697	6282	2718
698	6293	2710
699	6302	2701
700	6312	2692
701	6321	2683
702	6330	2674
703	6339	2665
704	6350	2657
705	6359	2648
706	6368	2639
707	6376	2630
708	6385	2621
709	6394	2611
710	6403	2602
711	6413	2594
712	6423	2585
713	6432	2576
714	6441	2567
715	6450	2558
716	6459	2549
717	6467	2540
718	6478	2531
719	6486	2522
720	6496	2513
721	6505	2504
722	6516	2496
723	6525	2487
724	6536	2479
725	6547	2470
726	6556	2461
727	6566	2453
728	6576	2444
729	6585	2435
730	6596	2427
731	6606	2418
732	6616	2410
733	6625	2400
734	6634	2392
735	6642	2382
736	6652	2373
737	6662	2365
738	6672	2356
739	6682	2347
740	6691	2338
741	6700	2329
742	6709	2320
743	6719	2312
744	6729	2303
745	6738	2294
746	6746	2284
747	6754	2275
748	6763	2266
749	6771	2257
750	6779	2247
751	6788	2238
752	6797	2229
753	6805	2220
754	6813	2211
755	6822	2201
756	6830	2192
757	6838	2183
758	6846	2173
759	6856	2165
760	6864	2155
761	6872	2146
762	6882	2137
763	6891	2128
764	6900	2119
765	6908	2110
766	6919	2102
767	6927	2092
768	6935	2083
769	6944	2074
770	6952	2065
