iter	Logloss
0	0.6665297415
1	0.6312638497
2	0.5995810538
3	0.5723217641
4	0.5519634556
5	0.5347419076
6	0.5169289177
7	0.4986627994
8	0.48227044
9	0.4663595707
10	0.4536372821
11	0.4429417009
12	0.4283453436
13	0.4175719821
14	0.404650367
15	0.3957526377
16	0.382657162
17	0.370892585
18	0.3598263149
19	0.3492166303
20	0.3390643608
21	0.3310901395
22	0.3194021551
23	0.3150741909
24	0.3082882976
25	0.2993315672
26	0.2913936546
27	0.2866198197
28	0.2808551248
29	0.2744262431
30	0.2686942787
31	0.2640991078
32	0.2565171626
33	0.2512066189
34	0.2450118683
35	0.240934333
36	0.2379898036
37	0.2338455447
38	0.2291970053
39	0.2254960297
40	0.2230461934
41	0.2197246439
42	0.216024848
43	0.2121555816
44	0.2086449664
45	0.2055337618
46	0.2026634939
47	0.2000826764
48	0.1987081593
49	0.1965965365
50	0.1942516838
51	0.1923953929
52	0.1902771898
53	0.1874534869
54	0.185852762
55	0.1845905976
56	0.1832180895
57	0.1814380021
58	0.1801828301
59	0.1785874904
60	0.1769443968
61	0.1756908804
62	0.1743137413
63	0.1722843487
64	0.1716129761
65	0.1701575681
66	0.1690364553
67	0.1683865936
68	0.1670137477
69	0.1663834818
70	0.1656210298
71	0.164246553
72	0.1632885337
73	0.1623051173
74	0.1617943522
75	0.16095423
76	0.1598882452
77	0.158959459
78	0.1581920094
79	0.1574839714
80	0.1563834507
81	0.1558663317
82	0.1553819305
83	0.1545641973
84	0.154163782
85	0.1531692801
86	0.1525999465
87	0.1520489973
88	0.1516705662
89	0.151234505
90	0.1508924921
91	0.1505607153
92	0.150257568
93	0.1497602012
94	0.1494359284
95	0.1491254586
96	0.148120333
97	0.1475797762
98	0.1472479902
99	0.1468151917
100	0.1463288908
101	0.1457332057
102	0.1454559546
103	0.1451997565
104	0.1450090182
105	0.144729997
106	0.1440621729
107	0.1438536918
108	0.1434323839
109	0.142819558
110	0.1424274153
111	0.1419390562
112	0.1416640905
113	0.1411934203
114	0.1409210184
115	0.1407156761
116	0.1401274567
117	0.1397017287
118	0.1394467595
119	0.1392965203
120	0.1387823853
121	0.1384506923
122	0.1379968225
123	0.1377415132
124	0.1371917746
125	0.1368018816
126	0.1365496714
127	0.1362762508
128	0.1360973018
129	0.1358376889
130	0.1354987546
131	0.1351396284
132	0.1349282985
133	0.1344280444
134	0.1342178078
135	0.1340449244
136	0.1339596002
137	0.1336420358
138	0.1335511613
139	0.1333719878
140	0.133192088
141	0.1329948944
142	0.1328680548
143	0.1327481282
144	0.1322265244
145	0.1321061551
146	0.1318404722
147	0.1316416233
148	0.1314184786
149	0.1310680341
150	0.1308646283
151	0.1306330033
152	0.1304819686
153	0.1303380398
154	0.1298485772
155	0.1296982285
156	0.1295139737
157	0.1292805724
158	0.1290329919
159	0.1288647079
160	0.1286939371
161	0.1281602772
162	0.1279741789
163	0.1278128175
164	0.1276172015
165	0.1273249242
166	0.1271625398
167	0.1269572975
168	0.1267662749
169	0.1266057069
170	0.1263809302
171	0.1260975742
